d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah
1,04:36,05:15,06:15,01:05,01:30,04:42,05:39,06:00,07:48,07:53,09:03,09:30
2,04:38,05:15,06:16,01:05,01:10,04:41,05:37,06:00,07:46,07:51,09:01,09:30
3,04:40,05:15,06:18,01:05,01:30,04:39,05:35,06:00,07:44,07:49,08:59,09:30
4,04:41,05:15,06:19,01:04,01:30,04:38,05:33,06:00,07:41,07:46,08:57,09:30
5,04:43,05:15,06:21,01:04,01:30,04:36,05:32,06:00,07:39,07:44,08:55,09:30
6,04:45,05:15,06:22,01:04,01:30,04:35,05:30,06:00,07:37,07:42,08:53,09:30
7,04:47,05:15,06:24,01:03,01:30,04:33,05:28,06:00,07:35,07:40,08:52,09:30
8,04:49,05:30,06:26,01:03,01:30,04:32,05:26,05:45,07:32,07:37,08:50,09:15
9,04:51,05:30,06:27,01:03,01:10,04:30,05:24,05:45,07:30,07:35,08:48,09:15
10,04:53,05:30,06:29,01:02,01:30,04:29,05:22,05:45,07:28,07:33,08:46,09:15
11,04:55,05:30,06:30,01:02,01:30,04:27,05:20,05:45,07:25,07:30,08:44,09:15
12,04:56,05:30,06:32,01:01,01:30,04:26,05:19,05:45,07:23,07:28,08:42,09:15
13,04:58,05:30,06:34,01:01,01:30,04:24,05:17,05:45,07:21,07:26,08:40,09:15
14,05:00,05:30,06:35,01:01,01:30,04:23,05:15,05:45,07:18,07:23,08:38,09:15
15,05:02,05:45,06:37,01:00,01:30,04:21,05:13,05:30,07:16,07:21,08:36,09:00
16,05:04,05:45,06:38,01:00,01:10,04:19,05:11,05:30,07:14,07:19,08:34,09:00
17,05:06,05:45,06:40,01:00,01:30,04:18,05:09,05:30,07:12,07:17,08:32,09:00
18,05:08,05:45,06:42,12:59,01:30,04:16,05:07,05:30,07:09,07:14,08:30,09:00
19,05:10,05:45,06:43,12:59,01:30,04:15,05:05,05:30,07:07,07:12,08:28,09:00
20,05:11,05:45,06:45,12:59,01:30,04:13,05:03,05:30,07:05,07:10,08:26,09:00
21,05:13,05:45,06:46,12:58,01:30,04:11,05:01,05:30,07:02,07:07,08:24,09:00
22,05:15,05:45,06:48,12:58,01:30,04:10,04:59,05:30,07:00,07:05,08:22,09:00
23,05:16,06:00,06:50,12:58,01:10,04:08,04:57,05:15,06:58,07:03,08:20,08:45
24,05:18,06:00,06:51,12:57,01:30,04:06,04:55,05:15,06:55,07:00,08:18,08:45
25,05:19,06:00,06:53,12:57,01:30,04:05,04:53,05:15,06:53,06:58,08:16,08:45
26,05:21,06:00,06:55,12:57,01:30,04:03,04:51,05:15,06:51,06:56,08:13,08:45
27,05:22,06:00,06:56,12:56,01:30,04:01,04:49,05:15,06:49,06:54,08:11,08:45
28,05:24,06:00,06:58,12:56,01:30,04:00,04:47,05:15,06:46,06:51,08:09,08:45
29,05:25,06:00,06:59,12:56,01:30,03:58,04:45,05:15,06:44,06:49,08:07,08:45
30,05:27,06:00,07:01,12:55,01:10,03:56,04:43,05:15,06:42,06:47,08:05,08:45
